Platform;Post ID;Post Type;Post Content;Likes;Comments;Shares;Impressions;Reach;Engagement Rate;Audience Age;Audience Gender;Audience Location;Audience Interests;Sentiment
Facebook;90d3f8e5-42c3-4fdf-aba8-ddf857a60c5a;Video;Behind animal we successful.;480;46;60;7983;3051;19.21;62;Female;Cocos (Keeling) Islands;relationship;Positive
Facebook;ca378dd8-08a4-453d-b3ac-12f15b050018;Link;Make bad loss teach yeah.;812;345;159;9481;2993;43.97;37;Female;Mexico;hit;Negative
Twitter;128cced6-01a7-4cf5-b30b-34fe607f1506;Video;Left clear finish daughter local cover guy.;30;167;34;6894;589;39.22;25;Male;Ethiopia;trade;Positive
Facebook;e57e421a-8736-4546-a608-cc03ac95728c;Video;House tree serve research.;153;92;88;6786;4456;7.47;44;Male;Panama;break;Neutral
Facebook;f899c1e4-28d9-48cc-a92e-ee7aa895a027;Image;Very worry thus.;358;293;59;2892;4915;14.45;34;Female;Madagascar;decade;Positive
Instagram;752ca52d-1dd1-47e7-ba93-6f6067a574be;Video;Establish leave reality light their office well.;233;363;83;4109;2788;24.35;58;Female;Guernsey;reduce;Negative
Instagram;69eb28ff-2c12-4062-97c6-9467b2278384;Image;Measure religious consumer.;269;373;200;3826;2940;28.64;53;Male;Tanzania;surface;Negative
Twitter;de5dbfc3-1a98-4ae4-b9b1-eeebb3d30fd9;Image;Expect box southern threat career.;235;102;11;7994;1598;21.78;38;Female;Bahamas;politics;Positive
Facebook;9ef7cbd3-90b6-47b3-9f1c-0caa5593b551;Image;Responsibility case hotel charge process.;68;355;129;7530;1206;45.77;50;Male;Sao Tome and Principe;million;Negative
Twitter;64d81aba-f869-4087-b781-5f15c7710e94;Link;Which develop item they race candidate.;916;298;88;9539;4598;28.32;20;Female;Lesotho;energy;Positive
Facebook;6b4674e3-4f89-49f0-8de4-5f6efb26de80;Video;New goal wait.;924;195;43;8091;1967;59.07;54;Male;Mozambique;need;Neutral
Twitter;c8dc154f-fb04-40a4-8a91-cb3c91803f5f;Image;How time believe consider interview someone voice.;195;231;76;3341;4922;10.20;57;Female;Saint Pierre and Miquelon;campaign;Positive
Twitter;45650d1d-9562-4b2b-bfcc-45ca2275cffb;Image;Report computer training mind under military job.;214;192;64;1448;3188;14.74;27;Male;Western Sahara;early;Negative
Twitter;b706f410-90a9-4df1-acfa-8224601c19bb;Link;Shake individual top life hundred.;358;361;56;4633;2148;36.08;51;Male;Czech Republic;such;Positive
Facebook;d8bded81-fb42-42ad-8e6a-7ae0af62c1f9;Image;Kitchen race get meet activity.;153;400;182;3365;3643;20.18;48;Female;Senegal;many;Neutral
LinkedIn;2f16f075-b5f1-40c7-9f51-f1dbbb0ba54f;Video;Still anything everybody let particular such former part.;919;345;134;2723;2301;60.76;39;Male;Suriname;they;Neutral
Instagram;9ae76546-ee5d-4cde-99b8-b5d633962355;Video;Successful everyone note program democratic identify.;927;190;102;6669;2486;49.03;27;Female;Tuvalu;teach;Neutral
Facebook;b4a3b725-7ef9-4532-b50b-e2ff04b05463;Link;Ahead may half affect middle.;379;316;89;1254;2312;33.91;55;Male;American Samoa;sing;Positive
LinkedIn;54160a22-000a-4dd4-8770-8b00874e185c;Link;Of theory behind cup benefit home yourself.;697;261;6;4026;753;128.02;30;Female;Saint Lucia;role;Negative
LinkedIn;a11193b5-f46a-434b-bfe8-1b623638d0fa;Image;Enough impact produce.;71;221;64;2226;772;46.11;50;Male;Tuvalu;edge;Negative
Twitter;a4c7b8c4-a36c-458e-8ae2-8a28be10a61f;Image;Month first three detail detail with table read.;28;485;18;6991;3692;14.38;53;Male;Spain;dog;Neutral
Facebook;2d2786e6-ec89-41fb-a1f2-bbead51b9ec3;Image;Industry finish cover production series.;787;432;41;6019;3780;33.33;23;Female;United Arab Emirates;compare;Negative
Twitter;978ce332-c675-4e87-987b-95089cdc58a5;Link;Next plan hope whose it quality seek national.;912;191;175;8266;2129;60.03;62;Male;Latvia;issue;Neutral
Instagram;dfce28b3-ad6c-46c0-9f0d-fe8f59dac53c;Video;Cause himself fish.;858;138;155;1352;2924;39.36;29;Female;Bangladesh;once;Neutral
Twitter;0db8bec0-9efe-47d0-a99f-65365142c63b;Link;Here oil many visit really close.;168;477;94;4992;985;75.03;43;Female;Lesotho;federal;Neutral
Instagram;6e858056-e793-4d8d-9210-0cb33cef79cb;Image;Build provide practice event white organization able.;793;421;55;2167;2051;61.87;25;Male;El Salvador;fast;Positive
Instagram;4052d961-cde6-4e73-bfa8-8e67a42118e2;Image;Focus would hair.;457;241;37;9312;4795;15.33;59;Male;Dominican Republic;same;Positive
LinkedIn;f0bf0b94-c8ca-4c32-b2ee-1904c754413d;Image;East recent major general half community .;140;482;121;9706;3003;24.74;63;Male;Botswana;rich;Negative
Twitter;1d388e2a-b07c-48d2-ab8c-2d534514a7a9;Image;Green open true language my follow must.;10;342;23;2015;2646;14.17;28;Male;Macao;account;Neutral
LinkedIn;f1ef0441-81e0-4c13-89b2-b6214bd2bde1;Link;Attention television control threat order fire amount.;698;317;48;3620;1266;83.97;27;Male;Brunei Darussalam;kid;Positive
LinkedIn;de5b1dcd-af1a-472c-b164-f18ff32db35c;Video;Book father anything fall writer example.;434;100;57;5274;4945;11.95;55;Male;Comoros;crime;Neutral
Twitter;233dee1f-08ff-44b3-aa77-ea7872fc3ede;Image;Who dog design business.;647;214;112;2355;2250;43.24;57;Female;Cocos (Keeling) Islands;interesting;Positive
Instagram;56f73be8-7dc1-4aaa-a4e8-1be6fab94064;Link;Road set them fund deep.;736;492;3;5018;948;129.85;27;Male;Eritrea;simple;Neutral
LinkedIn;96f1815a-1520-46b9-a72c-6bce1970bf3f;Image;Throughout ability cultural voice likely box memory.;278;17;112;9158;4203;9.68;61;Male;Portugal;police;Positive
Facebook;1f7afb2f-7290-4164-9c7a-2a9a15cf9076;Image;Role probably certainly exist million score.;919;348;22;5315;4300;29.98;50;Female;Ghana;plan;Neutral
Facebook;d853f797-4953-4484-b13d-0601115b89cc;Link;Pressure many quickly respond indicate college economy.;599;114;115;6583;3471;23.85;50;Male;Solomon Islands;half;Positive
Twitter;84bf97e9-20ad-4fd0-97a4-ce9a22405e89;Link;Condition likely father consider responsibility we.;569;338;131;5837;4083;25.42;44;Female;Italy;what;Positive
LinkedIn;933c8f41-0560-43c0-ada4-ee9940840345;Video;Safe couple job begin prevent.;203;450;71;4494;3944;18.36;19;Female;New Caledonia;on;Neutral
Facebook;5609f370-c1db-4aa1-9a26-6b322379c488;Video;Democratic sort know may.;996;294;54;8953;832;161.54;41;Female;Djibouti;leg;Neutral
Instagram;006683bc-5337-4d10-a1a9-797e454a00a3;Link;Second improve concern wind build figure.;684;371;139;9671;2736;43.64;26;Male;Colombia;question;Negative
Twitter;a8c151aa-234f-4455-bb86-c8f590037918;Image;Fund ago money boy bed.;245;92;92;5492;2161;19.85;62;Male;Austria;available;Positive
Twitter;0b01d8f8-2dc2-45f0-ad83-f6079a32000b;Video;Party fight exist perform figure simple.;590;74;40;5830;2849;24.71;45;Male;Ukraine;home;Negative
Instagram;03b65a88-4d6a-4fdc-8699-155444da8feb;Image;He player organization staff above modern score.;605;123;108;4523;2427;34.45;45;Male;Malawi;sister;Neutral
Twitter;51edb3d6-0756-40f2-bde4-27b7e425f7bd;Link;Throughout Mrs behind one back road.;93;178;23;5657;2144;13.71;20;Male;Fiji;prevent;Neutral
LinkedIn;493ceca8-5a63-4b3c-8913-51d3a47383ff;Image;True finally house likely voice this.;770;139;11;8612;1639;56.13;60;Female;Cocos (Keeling) Islands;baby;Positive
LinkedIn;c45a892b-b726-4356-95a1-a8af6cf529c6;Video;Recent if kind listen everything book.;738;108;177;4481;4699;21.77;50;Female;Eritrea;toward;Neutral
Facebook;45d75d8f-e2fc-42d6-9cf9-20dac23a8dbd;Video;Hope not blue.;35;63;95;2787;2976;6.49;46;Male;Cameroon;agree;Neutral
LinkedIn;c37a0b50-1294-42fb-b399-333d661e73b6;Video;Design say site determine guess likely.;682;303;111;9449;3231;33.92;46;Female;Guatemala;build;Negative
Instagram;592236d3-5c15-489f-acfb-fd541a5131f5;Link;Edge trial month win dog evidence.;437;299;78;1010;1906;42.71;24;Male;Bahamas;wife;Negative
Twitter;d1775f74-a768-40f5-91f1-c3616cb6f0b7;Video;There song thousand learn result.;665;28;131;9311;3509;23.48;59;Male;Italy;teach;Positive
Instagram;1ca20816-b56f-4770-9392-4870aef136f4;Image;Lead smile Mr good site.;839;69;60;9079;804;120.40;58;Male;Belarus;account;Positive
Twitter;e58008ec-6809-4aed-b127-a4cc0f4e9ac6;Video;Commercial he behind throughout affect pretty.;13;188;43;8777;4301;5.67;28;Female;Pitcairn Islands;say;Positive
Twitter;842c4e04-fb6d-482a-992a-efbdb8fc4635;Video;Answer forward activity person join happen mission between.;260;446;114;2483;1480;55.41;45;Male;United States Virgin Islands;most;Neutral
Twitter;b141773e-ad41-4aca-973f-01923d66a810;Image;Father you draw event see realize out.;790;8;139;2810;2710;34.58;42;Female;Iran;phone;Negative
Facebook;a68e6959-8a37-4fdb-911c-9b922cfb159a;Link;City notice speech later consider mean whether.;899;103;74;6914;937;114.83;65;Male;French Southern Territories;central;Negative
Twitter;399dfc69-77ba-4bbb-9ed8-172f0b8a51e3;Video;Picture save before.;3;429;69;7691;4598;10.90;63;Male;Gambia;current;Negative
Twitter;0dfd668b-c162-4155-a786-a8654c9ddc8a;Video;Hear my various position none view data.;711;458;99;9369;2231;56.84;53;Male;Bulgaria;reach;Negative
Twitter;da448195-f266-4da9-b6a4-b71a1e9bd781;Image;Page those within close.;582;5;41;1070;3801;16.52;53;Male;Kazakhstan;yes;Neutral
Instagram;d091a4a0-b07e-4f38-af81-e71387d48c6a;Video;Impact find argue over plan save which.;507;252;21;9790;1747;44.65;23;Female;Serbia;Republican;Negative
Facebook;300ff80e-e80a-44e4-922f-449cd35f9865;Link;Game southern need company.;79;238;154;7334;3338;14.11;27;Male;Honduras;doctor;Neutral
Facebook;1a18ec93-9114-4e3b-a1ed-f6d2dc8782db;Link;Stop wife audience each rise remember.;36;126;100;4301;2514;10.42;48;Female;San Marino;candidate;Negative
LinkedIn;ff0c1ffd-ab1c-426d-8427-cc555ace7646;Link;Lead industry single walk piece.;12;158;121;2349;2442;11.92;53;Female;South Africa;ball;Positive
Facebook;42137a1a-af85-47b6-b7ef-410e1c481539;Link;Ago deal pressure political.;457;118;178;4765;1440;52.29;52;Female;Seychelles;fine;Negative
LinkedIn;c429f0d5-95ec-49d2-8bfb-a5d2cbd4f9d6;Link;Tv in fill appear pressure personal plant carry.;60;328;196;3969;1302;44.85;37;Male;Timor-Leste;beautiful;Neutral
LinkedIn;c54cef1e-8c2a-4103-974d-23076aa9b94e;Video;Opportunity unit skin account specific.;299;309;39;3326;647;100.00;34;Female;Congo;see;Negative
LinkedIn;d1a54d88-7bd2-45d3-aa93-030957521bf2;Video;Whose idea let go everything.;875;58;143;1529;3427;31.40;56;Female;Mali;last;Positive
Twitter;297eac91-cdc6-4f85-be41-7d5b9b94be50;Image;Order between institution bed.;973;348;47;8383;3560;38.43;30;Male;Germany;peace;Negative
Instagram;dc314565-d0ef-4b46-badc-8909910c66bb;Image;Whom carry performance two democratic part let.;886;441;26;5458;3530;38.33;65;Male;Grenada;skill;Neutral
LinkedIn;5e6e6a5b-0946-4653-a59a-616a869652ce;Video;Safe program wear board model true coach.;537;316;52;4668;1133;79.88;56;Male;Bhutan;animal;Positive
Twitter;99eb067f-d010-4a22-b404-9ff566205d03;Image;Against stand true front.;780;425;53;6105;4950;25.41;41;Male;France;admit;Negative
Instagram;fa935e51-c7b3-4dc3-91bf-f869ecff5734;Image;By better head research clearly.;337;156;112;4991;4407;13.73;34;Male;Norfolk Island;remember;Negative
LinkedIn;af02dba3-1a8d-4ef8-b13a-5b1af291f66d;Video;Sense more information lay possible pretty.;663;74;32;2189;3447;22.31;39;Male;Ireland;about;Positive
Instagram;cc03688d-2778-4a14-a1ae-595302d58c66;Image;Note sense call election ready want.;52;485;104;8786;2837;22.59;53;Female;Greece;low;Neutral
LinkedIn;3dfa46b7-35ab-4bea-a22b-26758c055235;Video;All share third source model plan write.;884;16;117;7347;2235;45.50;38;Male;Saint Lucia;low;Neutral
Instagram;e6e5b40c-9a15-40c0-b499-62ca84d60bfc;Video;Culture win number we.;943;249;169;7741;565;240.88;59;Male;Belgium;live;Neutral
Facebook;30b3c00e-66bc-4ea0-84f7-af0fc17341c1;Video;Prevent suddenly need represent seek.;290;170;175;1483;3912;16.23;59;Male;Thailand;approach;Positive
Facebook;21941140-e753-4af2-9688-11de49031c14;Image;Rock prove drive technology.;165;277;171;5389;3219;19.04;56;Female;Jamaica;ИСТИНА;Negative
Facebook;bb48307e-150b-4d74-8f8a-e631f9148834;Video;Art while people middle society.;789;243;35;4418;2471;43.18;40;Female;Falkland Islands (Malvinas);surface;Neutral
Twitter;b766d1bd-75d1-4f2c-bd63-f950c73c6ac3;Image;Present certain threat deep central.;762;30;103;6036;802;111.60;22;Male;Singapore;growth;Negative
Twitter;cf36df2f-e07b-479e-a3d5-edb6f14c49aa;Link;Main garden address appear.;376;89;170;8894;4625;13.73;33;Female;Montenegro;data;Negative
LinkedIn;c2b14327-6429-4169-959c-3eccce6d62db;Link;Actually must keep finish policy.;300;132;117;2980;2126;25.82;35;Female;Tonga;direction;Positive
Twitter;7e0dd74c-fe94-41cf-b386-cebf96b33878;Image;However speak including sit federal win center.;764;284;103;7226;2542;45.28;20;Female;Anguilla;agency;Neutral
Twitter;edd2956e-c642-4e9f-bf5e-3844a67f3771;Image;Modern rise plant run tend.;205;30;62;8381;3120;9.52;57;Male;Martinique;east;Negative
Twitter;042a556d-c5a7-41a7-b212-f5c16a358b14;Video;Attention hour these sometimes above attention hear.;78;127;13;3970;4081;5.34;47;Female;Christmas Island;couple;Negative
Twitter;10fb950f-045c-436e-8f89-d2a6f13c67b7;Image;Raise spend network top.;596;280;58;4145;1113;83.92;55;Male;Estonia;couple;Negative
Facebook;ba82e384-ca95-4a59-b31d-72f42c8c45b4;Link;Trade put computer point none talk.;864;423;154;1292;1297;111.10;45;Male;Albania;card;Neutral
LinkedIn;737042d7-ab18-4651-bdaa-0f3d68493683;Link;Wish identify he exactly.;508;454;95;4146;4628;22.84;48;Female;New Zealand;land;Negative
Facebook;d2161829-5860-401b-8053-c8b8ffbce73a;Video;Themselves more Mr health attention.;435;182;19;4495;2346;27.11;41;Female;Tonga;view;Positive
Facebook;fd19c59c-ad0c-4cf5-9100-e64da61ac722;Link;Store fish author range from easy.;574;98;132;7262;953;84.37;43;Female;Djibouti;kid;Negative
Twitter;165f2503-d502-476f-b447-576a51f14f95;Image;Especially agency present begin pay Mr.;890;340;48;4389;2753;46.42;53;Male;Saint Vincent and the Grenadines;put;Negative
Facebook;2372ad24-7395-4377-a67c-7350e252c54f;Image;Mind an senior effort prove.;528;332;199;1663;4278;24.75;32;Male;Bosnia and Herzegovina;management;Neutral
Instagram;c2bd12f9-64a7-429b-aec1-99a317f950a5;Image;Senior agree discussion maybe consumer surface number.;757;188;3;4504;2585;36.67;58;Male;Singapore;church;Positive
Twitter;d0f18dcb-4195-4784-8823-5335499683ef;Image;Including dinner lawyer.;279;155;67;3296;2066;24.25;24;Male;Mexico;stock;Positive
Facebook;bcd8074a-09fe-4b61-89d8-209eee98d56c;Video;Lead east side vote listen moment wife.;967;82;169;4469;3054;39.88;45;Female;Italy;order;Positive
Instagram;0c655f9d-265e-4150-9fa5-c5d40e79c056;Image;Party policy they soon both concern many.;911;395;21;5008;1154;114.99;36;Female;Vanuatu;drop;Positive
LinkedIn;7a337a64-ba4f-4598-8584-ca3f7543c57e;Link;May against our should vote building.;893;449;132;5282;780;188.97;26;Male;Tuvalu;win;Neutral
Facebook;6c9f09f0-8d26-4da1-8fdf-fb6d159373be;Image;Some against when same into officer.;407;358;110;3572;3776;23.17;59;Female;Tunisia;ten;Neutral
Instagram;cc583708-2bbc-44e1-83a5-43e7e8c80dae;Link;School chair piece career daughter grow society.;699;349;100;2455;1838;62.46;57;Female;Cambodia;born;Negative
LinkedIn;a3af1111-4f63-44b5-bd1a-d350b855fe40;Video;Information our money hour see.;207;402;25;8828;3430;18.48;38;Male;Slovenia;gas;Positive
Instagram;579c7a27-669f-46c3-a166-6236e476ceef;Link;Red response fall garden person big debate.;532;424;174;7509;4523;24.98;41;Male;Taiwan;everything;Positive
Instagram;ef5d1a1f-7e68-44a9-96a5-1bddc1f54f82;Image;View civil s everything test crime people.;18;73;69;2469;3928;4.07;21;Female;United Kingdom;everybody;Positive
Twitter;cb23f63e-266a-4309-862d-fb07299c2dcc;Video;Necessary perhaps place the morning.;541;16;173;6836;4639;15.74;56;Male;American Samoa;measure;Neutral
LinkedIn;3045b919-5819-4fbe-83f8-4871f1683861;Image;Summer build question inside under condition.;725;241;176;3366;4211;27.12;41;Female;Kyrgyz Republic;might;Negative
Twitter;6685bdd9-3d0d-4adb-844d-fe530962711d;Image;Human beyond expert too.;315;305;33;5426;1742;37.49;41;Male;Brunei Darussalam;bank;Negative
Facebook;5a093e28-492f-4fdb-97d7-eb8b82995ef9;Image;Perhaps during piece play operation.;19;24;67;9396;1392;7.90;47;Female;Sao Tome and Principe;low;Neutral
LinkedIn;7dd58e7f-d167-4c13-b44b-c0a55352f47e;Image;Race together civil do series size.;123;362;54;6969;2803;19.23;35;Female;North Macedonia;move;Positive
Facebook;c89b6ab7-ba8a-4ff9-a48d-20a745c239c4;Video;Voice leave country those worry lose.;493;126;100;4391;2321;30.98;54;Male;Chile;itself;Positive
Facebook;56db0f41-845b-493e-85f2-c41306331850;Image;Address safe Mrs community dog commercial treatment.;884;359;40;5595;2046;62.71;39;Male;Serbia;spring;Neutral
Twitter;b3d576f8-d59e-4d9b-b1a9-3e9145254714;Video;Say action week.;304;24;47;3873;3427;10.94;59;Female;Albania;onto;Negative
LinkedIn;1f7edb31-e800-4069-a694-f3f809f181d5;Video;Wonder live sometimes newspaper tough maintain quite.;782;23;146;6574;821;115.83;21;Male;Sweden;nice;Neutral
Instagram;0704a943-ce03-40fc-ad13-2e9a7b866b4a;Video;Eight attorney manager direction left network.;993;60;164;5735;1751;69.50;36;Male;Kyrgyz Republic;your;Negative
Twitter;33112a24-f3e7-49b8-aeca-a1e6eac2c207;Image;Tv against country gun three way billion.;873;216;181;4360;757;167.77;65;Male;Bosnia and Herzegovina;prove;Neutral
Instagram;ee8e251e-fbce-492c-9bf6-6d612f13d78f;Video;Until people increase establish important.;846;318;184;8326;3821;35.28;31;Female;Bhutan;address;Positive
Facebook;09898791-47fb-4752-8a4b-04c7121daf93;Image;Weight speech skin senior remember contain despite.;859;128;119;3296;4691;23.58;65;Female;Kuwait;new;Negative
Facebook;3118dcd8-917d-4f05-bde4-a8ee26e94944;Link;Increase whom his maybe art political.;617;278;189;7564;1551;69.89;48;Female;Martinique;parent;Positive
LinkedIn;b274489d-c1d9-42c9-82c1-db69514e7b37;Link;Back interesting still onto chance expect exist.;498;152;47;6614;2930;23.79;29;Male;French Guiana;agency;Neutral
LinkedIn;6f3f2476-2921-4d4e-baac-d65b06313024;Video;Still whatever moment notice trade.;825;44;180;2316;1652;63.50;61;Female;Mexico;blue;Negative
LinkedIn;a08f74de-e362-46b0-b89c-98337b2cc06d;Link;Better pretty day just seek.;623;142;185;5969;4988;19.05;60;Male;Latvia;few;Neutral
Facebook;947d8937-b633-4e07-830c-211cb7edcaba;Image;On sense industry military.;845;399;39;5587;1510;84.97;25;Male;Aruba;care;Neutral
LinkedIn;af87f0aa-8024-4ce4-89f7-ac90e38776a7;Video;Anyone black whose local word design.;475;252;143;1207;1104;78.80;21;Female;Gambia;hotel;Positive
Facebook;0414f992-4c9b-4513-8816-b7ea4c716ded;Link;Person local citizen standard.;798;370;107;2153;4099;31.11;32;Male;Palestinian Territory;surface;Positive
Instagram;ab7aeda7-b5ca-49cc-8b00-9f77b878d496;Link;That simply industry nothing under.;292;341;80;3116;4825;14.78;42;Male;Haiti;still;Positive
Facebook;b66fa04d-8e1e-4615-b830-9f864baf9186;Image;Everything key image member.;114;14;200;5844;2292;14.31;46;Male;United Arab Emirates;all;Negative
Facebook;906997d5-a021-4d70-a26b-9d6a8b4c3465;Video;Quality woman create.;662;39;154;1280;2232;38.31;62;Female;Colombia;oil;Neutral
LinkedIn;a9208ba3-c354-4de2-bfae-ce3d34d14b35;Image;Through arrive if kind world else.;969;213;41;6267;4651;26.30;32;Female;Guernsey;safe;Negative
Twitter;2a0b3de4-c677-47fe-846b-c27c6ebbce18;Link;Their student decade ready consumer despite save wish.;766;415;165;8458;4859;27.70;25;Female;Cape Verde;upon;Positive
LinkedIn;cd912de5-74d1-4396-b680-5e593765178a;Link;Increase top both never hope weight bank.;386;493;140;2616;2822;36.11;30;Male;Chile;general;Neutral
Twitter;a33a10a9-3e7a-44f2-8c06-21546bb96439;Video;Well area wonder.;556;414;117;3470;2600;41.81;57;Male;Georgia;life;Neutral
Twitter;942eba6f-90ee-48c3-8bf3-c08113de057d;Link;Br window prevent person hotel.;323;487;12;5621;2686;30.60;53;Female;Suriname;me;Positive
Instagram;a8b2c0a8-35f1-4748-baa6-c51621978887;Video;Mention man may.;294;169;177;1467;1087;58.88;44;Male;Tunisia;discover;Negative
Twitter;757061be-eb94-49ac-984a-8c89641ffa0b;Link;Ball specific real purpose understand walk maintain.;831;394;34;8634;3453;36.46;49;Female;Mongolia;ball;Neutral
Twitter;97464f98-f504-443a-8023-e99dc47dc3e9;Video;News participant some offer about.;551;500;105;3075;552;209.42;31;Female;Mongolia;yet;Neutral
Facebook;c36173a7-bbc4-4cc4-91b2-0eb1e6d9eb8a;Image;Between perhaps fill very hotel thus allow.;75;230;64;1915;2942;12.54;62;Male;Australia;authority;Neutral
Facebook;cbf792eb-4dff-455d-9f36-ea29dbf1ae26;Link;Us plan during say.;847;424;52;9292;707;187.13;35;Female;Seychelles;force;Negative
Instagram;797c8810-3da4-43b7-90af-c4beaab8e4e0;Link;Within fall care.;70;273;177;1762;4461;11.66;43;Male;British Virgin Islands;manager;Negative
LinkedIn;028541eb-02af-47c9-8a48-e5fcdf2bab2e;Image;Strategy sort tough box.;159;262;64;9448;3536;13.72;18;Male;Guyana;change;Neutral
LinkedIn;9f05d4fa-9216-40e3-aee2-4cdb0485234e;Link;Interview common certainly spring.;970;187;113;8000;1401;90.65;56;Female;Andorra;member;Negative
Facebook;a3882218-c5b0-46d1-b112-4a5f882446cd;Image;Decade business everybody contain easy air.;474;424;173;2538;752;142.42;46;Female;Sri Lanka;vote;Positive
LinkedIn;7dd1eaca-4762-4bce-8b16-a5a4c2214407;Video;Fill in mission student Mrs.;426;269;64;6887;4059;18.70;20;Male;Saint Kitts and Nevis;almost;Positive
LinkedIn;093440e3-f2a3-4e16-bbff-d895fc8542d9;Video;Begin forget discuss cultural toward while.;711;3;133;7876;1267;66.85;23;Female;Afghanistan;thank;Negative
LinkedIn;38545118-8b01-41d1-b896-0f1e978098c7;Video;Exist require particular likely figure low story might.;823;456;107;9363;1077;128.69;63;Female;Turkmenistan;place;Positive
LinkedIn;d6a86204-f845-4583-ac76-06c8e9666852;Image;Threat care five herself down support.;476;438;16;6792;2956;31.46;39;Male;Palau;never;Positive
Instagram;ad4f9253-fbc4-4445-a543-19b7fd79c77e;Video;Shoulder lose cause.;335;11;24;9371;1648;22.45;39;Male;Ireland;suggest;Positive
Twitter;2d044220-853c-4774-be09-7a6799d98cbc;Image;Lot deep four allow change thus cultural.;403;14;112;1045;4709;11.23;25;Male;Benin;information;Negative
Facebook;7861a363-28be-4d06-a695-d3a084aa57cf;Video;Able weight expert effect.;584;200;159;5033;2822;33.42;26;Male;Libyan Arab Jamahiriya;save;Negative
Instagram;162cada0-9cf7-43e9-80a2-084deb01906e;Image;Hotel risk task sense into have.;246;206;193;2923;3736;17.26;38;Female;Central African Republic;challenge;Neutral
Instagram;7d219841-d931-469b-b11b-f2c70046e7f7;Video;Experience whatever dinner page.;268;118;97;3319;971;49.74;38;Male;Reunion;account;Positive
Facebook;dcedcf0e-ab80-488d-b0e2-c407f214f4b2;Image;Sometimes my red yes girl goal gas.;97;292;194;4937;3199;18.22;63;Female;Eritrea;condition;Negative
LinkedIn;d8d83aeb-2e04-426f-87c5-dd0c1b92f669;Video;State throw speak between record chair food.;125;365;96;3053;967;60.60;37;Male;Swaziland;scientist;Negative
Instagram;b7fd7b7d-4bfe-4b7f-863b-6162c4531f81;Link;Federal pull wrong instead family there wind where.;136;69;108;1498;4120;7.60;55;Male;Jordan;heavy;Positive
LinkedIn;6c7a428e-c658-4eb8-a870-80292577b5ee;Image;Its sister should seem edge.;459;3;0;3897;3210;14.39;56;Female;Wallis and Futuna;senior;Neutral
Twitter;d2e12298-bda1-40e6-ae56-82c53ac0760f;Image;Exactly bed whom offer this chair.;746;341;3;8307;1000;109.00;19;Male;Cambodia;point;Positive
Facebook;3861c691-5318-4828-ba05-db09b1604627;Video;Why military home southern because.;87;224;19;1810;2028;16.27;42;Female;Qatar;necessary;Neutral
Instagram;3df5116c-7aeb-4608-ad57-75ad913a9fc4;Image;Box know quality car project development it certainly.;154;269;153;6334;628;91.72;25;Female;Djibouti;use;Positive
LinkedIn;e72c5db1-a872-4137-adb5-e441b6c50610;Link;Easy serve open article special here fund.;515;330;9;3260;1302;65.59;56;Female;Samoa;result;Neutral
Instagram;90609c77-5e35-4477-a78f-382605e8af45;Video;Hundred conference minute play.;526;153;34;8064;1901;37.51;55;Male;Burkina Faso;trouble;Neutral
LinkedIn;c9ec8be3-6526-488d-990a-1a67de287380;Video;Hot within success very article organization western.;239;299;113;4042;2022;32.20;40;Male;Martinique;could;Neutral
Instagram;2188b792-b3aa-4f88-9755-9c135c9a5ae2;Image;All threat visit enter have.;877;320;135;3930;4804;27.73;63;Female;Grenada;scientist;Negative
Instagram;9019bfad-463a-4c3f-8789-a382c96db313;Link;Weight stay clear art.;500;449;185;2096;3270;34.68;33;Male;Ireland;eat;Neutral
Twitter;81c28b03-a85f-4f1d-adcb-d1c3d0a12af7;Image;Help their several act ten.;469;67;158;8663;1125;61.69;64;Female;British Indian Ocean Territory (Chagos Archipelago);sister;Neutral
Instagram;04a0628b-5f2d-4bfa-a3a4-1547ae688531;Link;Building director building.;518;361;147;2242;4703;21.82;19;Female;Togo;arrive;Neutral
Instagram;c75843c8-e376-4d68-8b37-1f1342bca8c0;Link;Federal window husband future.;791;68;5;3949;4866;17.76;27;Male;Philippines;short;Neutral
Instagram;10aa8de4-9a74-44bb-a787-726e612c6d2d;Image;Everyone drive city.;23;453;96;3504;1475;38.78;58;Male;Papua New Guinea;phone;Neutral
Twitter;e39c4205-dc66-44b3-b1ac-4f3938180a66;Image;Street run serious challenge everybody.;669;270;159;1967;1502;73.10;18;Female;Guatemala;base;Neutral
Facebook;b13eed6d-abb4-498b-a310-c2ea43345e21;Video;International parent special figure attack wonder.;949;475;86;2321;709;212.98;57;Male;Korea;value;Negative
Instagram;4cb00dcc-e6b3-40bd-b575-bf399ec6e8d9;Link;Big wall himself believe us leave anyone happy.;629;32;11;4466;2888;23.27;32;Female;Turkmenistan;onto;Neutral
Facebook;250aa5c4-586f-4cc5-b8bd-3e7680cce057;Image;Stop three program political gas agent analysis.;430;244;140;4613;1749;46.54;39;Male;Svalbard & Jan Mayen Islands;investment;Positive
Twitter;8d44ea70-e216-4d11-b4d6-772c4fda53fc;Image;Reality along heavy put charge.;297;482;28;8191;3813;21.16;21;Male;Ukraine;someone;Negative
LinkedIn;9a6be67b-f046-4a00-a6c1-8c5b77b72eee;Image;Early color agent sing.;939;359;69;4085;3717;36.78;49;Female;Botswana;all;Neutral
